"id";"einrichtung";"bibo_nr";"traeger";"einrichtungsart";"strasse";"hnr";"hnrz";"plz";"url";"stichworte";"geom";"barrierefrei";"ds_modified"
536;"Haltestelle der Fahrbibliothek in Pillnitz, Pillnitzer Landstraße (in Höhe Nummer 321); Montag 15.30 - 18.30 Uhr";"id_536";"Städtische Bibliotheken Dresden";"Fahrbibliothek";;;;;"www.bibo-dresden.de/de/standorte/fahrbibliothek.php";;"SRID=4326;POINT(13.86496156404642121629 51.01388532735836633947)";true;2025-04-24 13:25:39
271;"Ausleihstelle Gompitz, Dienstag 16 - 18 Uhr";"41";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";"Altnossener Straße";46;"a";"01156";"www.bibo-dresden.de/de/standorte/mobile-bibliothek/ausleihstellen.php";;"SRID=4326;POINT(13.62587179421137406621 51.04418328205630928096)";true;2025-04-24 13:29:42
1486;"Ausleihstelle Ockerwitz, Mittwoch 16 - 18 Uhr (alle zwei Wochen)";"41";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";"Ockerwitzer Dorfstraße";1;"d";"01156";"www.bibo-dresden.de/de/standorte/mobile-bibliothek/ausleihstellen.php";;"SRID=4326;POINT(13.64156424940394707335 51.05578610469417810691)";true;2025-04-24 13:29:42
523;"Haltestelle der Fahrbibliothek in Coschütz, Windbergstraße; Dienstag 15 - 16.15 Uhr";"id_523";"Städtische Bibliotheken Dresden";"Fahrbibliothek";;;;;"www.bibo-dresden.de/de/standorte/fahrbibliothek.php";;"SRID=4326;POINT(13.70246833973351741065 51.01782198356769981729)";true;2025-04-24 13:27:03
548;"Haltestelle der Fahrbibliothek in Wilschdorf, Keulenbergstraße; Freitag 13 - 14 Uhr";"id_548";"Städtische Bibliotheken Dresden";"Fahrbibliothek";;;;;"www.bibo-dresden.de/de/standorte/fahrbibliothek.php";;"SRID=4326;POINT(13.72469720553820060616 51.11664249716203300977)";true;2025-04-24 13:27:03
273;"Ausleihstelle Schönborn, Donnerstag 16 - 18.30 Uhr";"45";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";"Seifersdorfer Straße (SB)";1;;"01465";"www.bibo-dresden.de/de/standorte/mobile-bibliothek/ausleihstellen.php";;"SRID=4326;POINT(13.86594253067902471344 51.14745230314335344701)";true;2025-04-24 13:29:42
1006;"Bibliothek im ökumenischen Informationszentrum";"id_1006";"Ökumenisches Informationszentrum Dresden e.V.";"Bibliotheken";"Kreuzstraße";7;;"01067";"www.infozentrum-dresden.de/bibliothek";;"SRID=4326;POINT(13.73940317847902115034 51.04906152929999052503)";false;2025-04-24 12:25:35
265;"Bibliothek der HS für Technik und Wirtschaft";"id_265";"Hochschule für Technik und Wirtschaft Dresden (FH)";"Bibliotheken";"Friedrich-List-Platz";1;;"01069";"www.htw-dresden.de/hochschule/organisation/bibliothek";;"SRID=4326;POINT(13.73501983507348711555 51.03753622406808432288)";false;2025-04-24 12:26:02
270;"Bibliothek Cossebaude";"33";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";"Dresdner Straße (CB)";3;;"01156";"www.bibo-dresden.de/de/standorte/bibliothek-cossebaude.php";;"SRID=4326;POINT(13.63000581377878361877 51.08829396896528152183)";true;2025-04-24 13:18:16
266;"Bibliothek Cotta";"03";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";"Cossebauder Straße";42;;"01157";"www.bibo-dresden.de/de/standorte/bibliothek-cotta.php";;"SRID=4326;POINT(13.6857688943029671691 51.05757221770593901056)";true;2025-04-24 13:18:27
269;"Bibliothek Gorbitz";"24";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";"Merianplatz";4;;"01169";"www.bibo-dresden.de/de/standorte/bibliothek-gorbitz.php";;"SRID=4326;POINT(13.66945180822294148015 51.04551644866592852168)";true;2025-04-24 13:18:49
